drugA,drugB,label
DB01509,DB00704,1
DB00458,DB01252,1
DB01238,DB06579,1
DB00555,DB01352,1
DB01156,DB13601,1
DB06684,DB00589,1
DB00628,DB06813,1
DB05015,DB01100,1
DB01175,DB08887,1
DB00370,DB00881,1
DB01100,DB13335,1
DB00182,DB01088,1
DB00433,DB00759,1
DB00359,DB01151,1
DB09296,DB00502,1
DB14506,DB01618,1
DB00726,DB09488,1
DB00285,DB08815,1
DB01438,DB06700,1
DB00047,DB00215,1
DB01037,DB00105,1
DB00714,DB00334,1
DB00495,DB00472,1
DB00734,DB11591,1
DB01412,DB00502,1
DB01157,DB01151,1
DB00292,DB01149,1
DB00477,DB01558,1
DB00344,DB13782,1
DB00422,DB01203,1
DB06216,DB13875,1
DB00726,DB00035,1
DB01496,DB00726,1
DB00502,DB09286,1
DB00344,DB06262,1
DB00363,DB06731,1
DB00599,DB00726,1
DB00476,DB00412,1
DB04938,DB00476,1
DB01120,DB01224,1
DB00734,DB00503,1
DB05542,DB06216,1
DB00370,DB11830,1
DB00715,DB04017,1
DB09279,DB00476,1
DB00726,DB08841,1
DB00404,DB01235,1
DB00593,DB01149,1
DB00490,DB14185,1
DB06788,DB14185,1
DB01255,DB06727,1
DB00458,DB06589,1
DB00752,DB00780,1
DB01158,DB00476,1
DB00829,DB09256,1
DB13682,DB00363,1
DB00934,DB06710,1
DB00574,DB09128,1
DB06016,DB07477,1
DB01238,DB06708,1
DB01247,DB00852,1
DB13358,DB00458,1
DB00726,DB01309,1
DB01267,DB09262,1
DB01267,DB15593,1
DB00370,DB01275,1
DB00246,DB01598,1
DB01191,DB00472,1
DB13374,DB01242,1
DB13946,DB00176,1
DB00708,DB14185,1
DB00363,DB09135,1
DB00182,DB00424,1
DB01238,DB13782,1
DB08815,DB08925,1
DB03322,DB01576,1
DB08918,DB11363,1
DB00555,DB00512,1
DB06670,DB00408,1
DB00182,DB00219,1
DB00934,DB09210,1
DB13354,DB14509,1
DB00321,DB09001,1
DB00363,DB12395,1
DB00540,DB00779,1
DB09195,DB00540,1
DB01267,DB01587,1
DB03450,DB00628,1
DB12781,DB06216,1
DB00176,DB13666,1
DB09245,DB00543,1
DB00441,DB00540,1
DB09048,DB01149,1
DB11742,DB00477,1
DB01278,DB00321,1
DB01174,DB09374,1
DB01037,DB00178,1
DB06590,DB00176,1
DB00850,DB13542,1
DB09253,DB00321,1
DB00437,DB08918,1
DB00590,DB08815,1
DB09068,DB11136,1
DB11967,DB00502,1
DB01618,DB13782,1
DB01037,DB01068,1
DB00851,DB01018,1
DB01151,DB00761,1
DB05687,DB06216,1
DB00628,DB11823,1
DB00993,DB01224,1
DB09068,DB06735,1
DB00752,DB13403,1
DB00300,DB00313,1
DB00246,DB06290,1
DB00593,DB00246,1
DB06700,DB09137,1
DB00850,DB06600,1
DB01037,DB01472,1
DB00543,DB01357,1
DB01267,DB14644,1
DB00404,DB13338,1
DB00540,DB04572,1
DB00543,DB00468,1
DB11757,DB00433,1
DB00215,DB06240,1
DB00540,DB00368,1
DB00589,DB00215,1
DB08815,DB11560,1
DB08918,DB06764,1
DB01247,DB00755,1
DB01151,DB15334,1
DB13136,DB00363,1
DB01576,DB08810,1
DB00454,DB00623,1
DB00344,DB04574,1
DB00370,DB00782,1
DB00734,DB01556,1
DB09174,DB14185,1
DB01154,DB14185,1
DB00732,DB00540,1
DB00543,DB08897,1
DB06700,DB13500,1
DB00690,DB01156,1
DB01100,DB05227,1
DB00715,DB06582,1
DB01018,DB13554,1
DB00404,DB00842,1
DB00726,DB08952,1
DB00458,DB09023,1
DB00083,DB14185,1
DB08815,DB02703,1
DB01151,DB03566,1
DB09237,DB00476,1
DB00726,DB11720,1
DB00715,DB01276,1
DB08815,DB13074,1
DB09299,DB00458,1
DB05232,DB06016,1
DB08910,DB00363,1
DB11552,DB01175,1
DB05889,DB01267,1
DB00285,DB13557,1
DB13673,DB00829,1
DB00752,DB13817,1
DB00698,DB06700,1
DB00321,DB12319,1
DB11780,DB01238,1
DB01238,DB13588,1
DB01623,DB13396,1
DB00652,DB00363,1
DB12670,DB00477,1
DB00370,DB00451,1
DB00854,DB00176,1
DB00740,DB08918,1
DB00752,DB13312,1
DB06186,DB08918,1
DB11892,DB00246,1
DB00565,DB00679,1
DB01618,DB01467,1
DB04917,DB09128,1
DB00543,DB00505,1
DB00784,DB00829,1
DB00752,DB08836,1
DB00188,DB00715,1
DB01247,DB13446,1
DB01618,DB13352,1
DB00285,DB11166,1
DB00837,DB01104,1
DB07402,DB01267,1
DB01623,DB11841,1
DB00315,DB00182,1
DB09320,DB01151,1
DB12193,DB00734,1
DB01242,DB00444,1
DB09215,DB14509,1
DB01224,DB13679,1
DB06155,DB01068,1
DB00656,DB04868,1
DB01267,DB01216,1
DB00822,DB06282,1
DB00715,DB08880,1
DB01351,DB01104,1
DB00285,DB13377,1
DB01155,DB01100,1
DB01018,DB09285,1
DB00472,DB00178,1
DB00540,DB11963,1
DB00344,DB00500,1
DB00285,DB01544,1
DB00418,DB00726,1
DB00683,DB01037,1
DB00472,DB08873,1
DB00472,DB01241,1
DB06670,DB00477,1
DB13345,DB09128,1
DB01623,DB09229,1
DB00539,DB01175,1
DB00321,DB01203,1
DB00372,DB00502,1
DB14232,DB00934,1
DB01175,DB13411,1
DB09527,DB00334,1
DB00215,DB14028,1
DB00328,DB14185,1
DB00934,DB13627,1
DB08873,DB00476,1
DB01156,DB13805,1
DB13443,DB01175,1
DB00176,DB13989,1
DB13557,DB01175,1
DB00073,DB00363,1
DB05266,DB01267,1
DB00543,DB00204,1
DB00477,DB00806,1
DB09071,DB08918,1
DB00998,DB00313,1
DB09068,DB01120,1
DB00599,DB00934,1
DB00176,DB00583,1
DB06016,DB13407,1
DB01576,DB06799,1
DB08801,DB00704,1
DB00628,DB15593,1
DB00822,DB01069,1
DB00344,DB13805,1
DB00472,DB11723,1
DB00182,DB00054,1
DB01224,DB00224,1
DB00822,DB13744,1
DB06700,DB00921,1
DB09068,DB09472,1
DB00475,DB08810,1
DB00605,DB00679,1
DB11518,DB14509,1
DB06700,DB09091,1
DB00313,DB01028,1
DB14583,DB00313,1
DB00189,DB01151,1
DB01142,DB00285,1
DB08942,DB00363,1
DB06077,DB01255,1
DB00875,DB09128,1
DB00370,DB01419,1
DB00404,DB09357,1
DB00334,DB13125,1
DB00484,DB00831,1
DB08815,DB09249,1
DB06737,DB00182,1
DB08815,DB01132,1
DB09128,DB00396,1
DB00313,DB13956,1
DB13919,DB00476,1
DB00321,DB00241,1
DB00924,DB00543,1
DB12364,DB00176,1
DB00334,DB00420,1
DB00502,DB05710,1
DB01120,DB06216,1
DB00543,DB01599,1
DB11943,DB00726,1
DB06016,DB13575,1
DB01018,DB11587,1
DB09068,DB11135,1
DB00477,DB06756,1
DB01211,DB00472,1
DB04827,DB00540,1
DB01175,DB01129,1
DB00490,DB11156,1
DB09128,DB00836,1
DB01151,DB00184,1
DB00363,DB04960,1
DB01012,DB00176,1
DB04861,DB00313,1
DB01255,DB00810,1
DB00433,DB13817,1
DB00540,DB00747,1
DB00850,DB01625,1
DB01247,DB00498,1
DB01247,DB13413,1
DB00452,DB00555,1
DB00543,DB04876,1
DB00246,DB01497,1
DB00752,DB00030,1
DB09068,DB08828,1
DB00408,DB13233,1
DB01082,DB00502,1
DB01576,DB00366,1
DB01151,DB06660,1
DB00344,DB02703,1
DB05077,DB00715,1
DB01156,DB13557,1
DB00476,DB12321,1
DB00696,DB01149,1
DB00715,DB00935,1
DB00229,DB00829,1
DB06684,DB00680,1
DB01174,DB00370,1
DB00321,DB11828,1
DB01466,DB00829,1
DB00432,DB01068,1
DB00831,DB09167,1
DB04076,DB00370,1
DB06016,DB11518,1
DB00991,DB06216,1
DB00706,DB01149,1
DB01114,DB00715,1
DB00831,DB00962,1
DB00934,DB08985,1
DB01042,DB01100,1
DB00472,DB12015,1
DB00555,DB00738,1
DB00540,DB09285,1
DB01576,DB06691,1
DB01100,DB14633,1
DB00555,DB12531,1
DB06196,DB01242,1
DB01048,DB01151,1
DB01576,DB02568,1
DB00679,DB14028,1
DB00285,DB00593,1
DB00475,DB13234,1
DB06216,DB06803,1
DB06684,DB13317,1
DB00427,DB01068,1
DB00246,DB13633,1
DB00363,DB02638,1
DB09173,DB06684,1
DB06016,DB08931,1
DB00246,DB13993,1
DB15171,DB08815,1
DB00726,DB05885,1
DB00850,DB09071,1
DB00920,DB01175,1
DB01600,DB00176,1
DB00490,DB13385,1
DB08815,DB11774,1
DB00752,DB04836,1
DB04888,DB00321,1
DB14035,DB01238,1
DB00555,DB02134,1
DB01238,DB00613,1
DB13781,DB00679,1
DB13502,DB00408,1
DB09167,DB00334,1
DB09213,DB14509,1
DB00953,DB01149,1
DB00081,DB00476,1
DB01238,DB06016,1
DB01576,DB06479,1
DB00734,DB06731,1
DB00734,DB00857,1
DB01238,DB01036,1
DB01037,DB14059,1
DB00344,DB13418,1
DB09072,DB00623,1
DB00502,DB15197,1
DB14185,DB01609,1
DB00215,DB04665,1
DB01018,DB01162,1
DB09352,DB01175,1
DB00543,DB13233,1
DB00490,DB14575,1
DB09401,DB01149,1
DB00334,DB01117,1
DB00490,DB00911,1
DB00704,DB01151,1
DB01623,DB01113,1
DB01238,DB00212,1
DB00477,DB12401,1
DB00370,DB13523,1
DB01066,DB01151,1
DB00363,DB00797,1
DB00181,DB01238,1
DB00540,DB13132,1
DB00540,DB00836,1
DB00215,DB13406,1
DB09076,DB00285,1
DB08815,DB12923,1
DB05819,DB09128,1
DB00373,DB00715,1
DB13875,DB01576,1
DB06216,DB00428,1
DB00752,DB13612,1
DB01111,DB00182,1
DB01018,DB01081,1
DB00557,DB00829,1
DB06825,DB00363,1
DB00822,DB00316,1
DB01166,DB00623,1
